日期,收盘,开盘,高,低,交易量,涨跌幅
2025-07-25,"4,127.16","4,145.32","4,150.50","4,117.80",273.60K,-0.53%
2025-07-28,"4,135.82","4,128.20","4,146.12","4,112.97",222.76K,0.21%
2025-07-29,"4,152.02","4,132.68","4,153.33","4,117.58",230.81K,0.39%
2025-07-30,"4,151.24","4,148.94","4,185.21","4,127.43",249.85K,-0.02%
2025-07-31,"4,075.59","4,141.56","4,141.82","4,063.67",267.09K,-1.82%
2025-08-01,"4,054.93","4,069.93","4,085.35","4,040.46",196.22K,-0.51%
2025-08-04,"4,070.70","4,037.94","4,070.70","4,037.94",162.28K,0.39%
2025-08-05,"4,103.45","4,080.39","4,106.30","4,075.58",178.85K,0.80%
2025-08-06,"4,113.49","4,100.43","4,116.71","4,098.35",176.68K,0.24%
2025-08-07,"4,114.67","4,120.28","4,129.74","4,094.82",198.64K,0.03%
2025-08-08,"4,104.97","4,109.27","4,122.21","4,097.42",173.17K,-0.24%
2025-08-11,"4,122.51","4,110.29","4,134.25","4,103.60",190.44K,0.43%
2025-08-12,"4,143.83","4,123.58","4,153.29","4,121.22",177.29K,0.52%
2025-08-13,"4,176.58","4,150.50","4,186.75","4,147.20",213.94K,0.79%
2025-08-14,"4,173.31","4,179.96","4,220.31","4,165.94",221.10K,-0.08%
2025-08-15,"4,202.35","4,162.42","4,214.73","4,157.50",261.33K,0.70%
2025-08-18,"4,239.41","4,218.25","4,272.96","4,203.42",301.48K,0.88%
2025-08-19,"4,223.37","4,241.77","4,264.23","4,215.21",250.82K,-0.38%
2025-08-20,"4,271.40","4,208.40","4,272.15","4,190.56",246.48K,1.14%
2025-08-21,"4,288.07","4,284.37","4,308.45","4,273.65",259.03K,0.39%
2025-08-22,"4,378.00","4,287.36","4,378.39","4,287.36",290.44K,2.10%
2025-08-23,"4,385.20","4,378.00","4,395.45","4,375.10",275.32K,0.16%
